user,review,rating
Wahyu Dwipayana,"Tempat wisata yang super seru! 🎢 Di Jatim Park 1 ada banyak wahana menarik yang cocok untuk semua umur, dari yang santai sampai yang menantang 😄. Selain bermain, ada juga Museum Tubuh yang edukatif banget — bisa belajar sambil jalan-jalan 🧠✨. Cocok untuk liburan bareng keluarga atau teman-teman biar bisa seru-seruan rame-rame! 🎉 …",5
Taufik Yulianto,Untuk pertamakalinya saya masuk JatimPark 1 sekaligus mengantar Tamu dari Singapura Bapak Razek Bin Abdul Wahid. Untuk ukuran usia saya area ini termasuk luas dan lengkap Wahanya. Sangat refresentatif jika mengajak keluarga Healing sesekali …,5
mei Sholihah,"Batu dan malang mmg t4 yg menarik utk berlibur. Karena t4 wisatanya di kelola dengan baik..
Klo ke jatim park baik 1,2 atau 3 perlu waktu yg lama karrna biar puas bermain …",5
Ukhtiana,"Seperti tempat liburan pada umumnya, bukanya jam 10 pagi dengan tiket yang bisa dibeli on the spot. Sayangnya untuk harga tiket berlaku tiket terusan, bisa dengan museum tubuh atau dengan museum angkut (dengan harga yang berbeda). …",4
Navis Otnaidu,"Kesini weekend di hari sabtu, mulai dari petugas parkir motor, tiket, kafetaria, penjaga wahana semuanya RAMAH BANGEEETT ⭐️ …",5
Muhamad Lukmanul Hakim,"tempat nya seru, awal masuk kayak labirin kalo mau masuk thme parak nya, soalnya kita dibuat muter muter sama beberapa museum seperti museum adat dari berbagai daerah di Indonesia. wahana nya juga lumayan banyak, yang sering saya coba itu …",5
MOH ADNAN (Cristal Offecial),"Bagi teman-teman yang belum kesini wajib tahu,dan bisa di coba dan rasakan sendiri, Jawa Timur Park 1, yang berlokasi di Jl. Kartika, adalah destinasi wisata edukasi dan rekreasi yang wajib dikunjungi. Kombinasi sempurna antara taman …",5
Dwiana Binti Yulianti,"Ticket lumayan mahal karena kebetulan kami berkunjung pas high season, @170rb untuk ticket terusan sampai museum angkut. Wahana permainan sangat variatif, tersedia toilet disetiap sudut jadi gampang untuk ke toilet, tersedia stall makanan …",5
Ryuu R,"DATENG TGL 2 AGTS KEMAREN , 6 ORG. DATENG SEKITAR JAM 10 PAGI, HAMPIR SELURUH WAHANA TUTUP,sisa roller coaster gatotkaca itupun cm naks 2x naik kata petugas. wahana sisa ga sampe 7 yg buka.",1
Lily Indahsari,"Cocok buat wisata anak-anak maupun dewasa, mainannya buuuanyak polll bisa pilih mana yg disuka. …",5
Miftahul Jannah,"tempatnya bagus dan seru kesana tahun kemarin sekitaran bulan desember, wahanana bener bener menguji adrenalin, aku kesana sama temenku ugi dan yesrika, setelah naik wahana 360 kami bertiga muntah😭😂 seruuu bangettt, mudahan nanti bisa …",5
Miftahul Ilmi,"Kesini weekday htm 115k, JTP 1 ini sangat all in one dan lebih cocok untuk pengujung yang ingin belajar, karena ada science center,pameran budaya, museum tubuh dll. JTP 1 adalah solusi liburan keluarga terutama bagi kalangan anak-anak dan …",4
Rizki Rachmansyah,"Wisata Sambil Belajar Yaa Kesini , Belajar Sambil Happy , Belajar Sejarah Kebudayaan Indonesia Dan Diakhiri Dengan Happy Di Arena Permainan Dan Kolam Renang , Untuk Stand Makananya Juga Banyak Dan Murah2 Harga Standard , Ilmu Dapat Hati Senang Gembira , Mantap JTP1 JTP2 JTP3 Museum Angkut 👍👍👍 , Tinggal Ke Baloga Dan Ke BNS yang Belum …",5
Miss Ferlyn,"Cocok untuk edukasi science terutama untuk anak sekolah. Bisa dicoba alat peraga yang ada di dlm. Beli tiketnya sekalian tiket ke museum angkut. Lagi high season jadi agak mahal, cuman worth it lah harga segitu dgn segala wahana yg ada. Cuman ada bbrapa fasilitas yg tdk ter include dlm tiket.",5
Khannfrom The4666,"Pertama kali ke jtp 1 lagi setelah sekiann lamaa,, nice place dan waktu kesana pas high season jadi serba mengantri kalo mau naik wahana.. tpi overall tempatnya bagus",5
S D,"Paket komplit sih . Belajar sambil bermain . Area edukasi yg banyak dan lengkap. Wahana nya cukup bervariatif . Untuk tiket 170k udah bundling JTP1 sama Museum angkut . Ada penginapan deket banget ,nama nya pondok jatim,tinggal jalan aja sampe",5
Nasywa Rahmalia,Seru banget kemarin sama temen-temen ke sini dan untungnya lagi ga begitu rame jadi bisa nyoba banyak permainan tanpa antrii. Trs skrng udah ada permainan baru tp bayar gt lagi yg kearah roller coaster gatot kaca trs akupun baru tau kalo …,3
Eka Anggit,"Cocok buat liburan sudah banyak perubahan ,semakin 👍...

untuk area waterboom mungkin bisa di tambah lagi untuk area tunggu nya ? karena …",4
Olivia Yunita,"Seru bgt wajib dikunjungi kalau ke malang 😁

Jatim park 1 punya wahana kurang-lebih 60 wahana seru dan banyak memacu …",5
Andi Saputra,"Gabungan antara wahana permainan & ilmu pengetahuan...
Cocok buat anak usia pra remaja - remaja...
Tiket high season 125rb tergolong murah krn selain masuk ke jatim park 1, jga free akses ke museum tubuh...",5
