"annotation_id","annotator","created_at","id","lead_time","rating","review","sentiment","updated_at","user"
6,"1","2025-11-07T13:13:41.663999Z",1,19.561999999999998,5,"Tempat wisata di batu bisa buat keluarga atau edukasi sekolah","Neutral","2025-11-07T13:13:41.663999Z","Cristanto"
503,"1","2025-11-09T11:38:38.849114Z",2,14.749,4,"Masih lumayan buat anak2 wisata...edukasi dan pengetahuan berbasic sejarah...makanan relatip murah..ok buat keluarga  piknik tipis2...","Positive","2025-11-09T11:38:38.849114Z","Erma Latifah"
504,"1","2025-11-09T11:38:50.890259Z",3,10.339,5,"Adalah sebuah tempat untuk edukasi, rekreasi, adu nyali dll yang keren, yang merupakan kebanggaan masyarakat Jawa Timur. Selalu senang datang kembali bersama-sama dengan murid-murid untuk melaksanakan rekreasi akhir tahun. Jatim Park 1 adalah kebanggaan kami semua.","Positive","2025-11-09T11:38:50.890259Z","Nailil Farikhah"
505,"1","2025-11-09T11:39:17.541252Z",4,17.948999999999998,3,"Bagus utk wisata utk edukasi dan taman bermain anak.","Positive","2025-11-09T11:39:17.541252Z","Theresia Lonika"
7,"1","2025-11-07T13:13:52.121104Z",5,10.015,4,"Tiket masuk dibandingkan dengan banyaknya wahana hitungannya cukup murah , tapi di tempat makan nya banyak Lalat , perlu team khusus untuk penanganan lalat","Neutral","2025-11-07T13:13:52.121104Z","zainal arif"
8,"1","2025-11-07T13:16:55.473658Z",6,19.134,5,"Jauh jauh dari bali Akhirnya kesampaian juga pergi kesini 🥹 …","Negative","2025-11-07T13:16:55.473658Z","Gale Ligiro"
9,"1","2025-11-07T13:16:59.692159Z",7,3.789,5,"tempatnya cocok untuk rekreasi bersama teman maupun keluarga. terdapat banyak pengetahuan serta wahana seru🤩 …","Positive","2025-11-07T13:16:59.692159Z","Filzah Putri Nabilah Insyirah"
10,"1","2025-11-07T13:17:04.183886Z",8,4.049,4,"capek karna jalan kali tapi seru .. yang bikin bete disana nggak ada air putih selain Aqua _-","Positive","2025-11-07T13:17:04.183886Z","kayo"
11,"1","2025-11-07T13:17:16.060078Z",9,11.444,4,"Tempat rekreasi keluarga, terdapat wahana mulai dari yang untuk anak² maupun sampai wahana yang menantang, selain wahana ada juga tempat edukasinya seperti    pakaian adat daerah, sejarah perang,dll. Ada kolam renangnya juga, dan ada tokoh oleh²nya dipintu keluar wahana.","Positive","2025-11-07T13:17:16.060078Z","Nadeo Mayendra"
12,"1","2025-11-07T13:17:19.628717Z",10,3.168,5,"Disini terdapat wahana lengkap dan cocok buat keluarga. Tapi banyak batas minimum tinggi yang mesti disesuaikan lagi","Positive","2025-11-07T13:17:19.628717Z","rizki rachmadan"
501,"1","2025-11-08T13:21:47.624314Z",11,12.388,4,"Bismillah, izin review yaa...
Terakhir ke jatim park 1 waktu kelas 6 sd sekitar 2012 an dan sekarang kesini banyak perubahan.. …","Neutral","2025-11-08T13:21:47.624314Z","Aishdnm"
13,"1","2025-11-07T13:18:30.695368Z",12,8.282,4,"Memuaskan untuk rekreasi keluarga, food court perlu ditingkatakan soal kualitas makanan","Positive","2025-11-07T13:18:30.695368Z","Dorry Hendarto"
14,"1","2025-11-07T13:18:34.277080Z",13,3.195,5,"Tempatnya luas &bnyak peninggalan sejarah di dalamnya banyak jugak wahana""yg serba geratisss. Terkecuali yg berhadiah boneka","Positive","2025-11-07T13:18:34.277080Z","Affan Zahman"
15,"1","2025-11-07T13:18:45.217880Z",14,10.485,4,"Jawa Timur Park 1, Batu satu tiket untuk semua ternyata gak bisa kesampaian juga Taman permainan dan edukasi yang rekomendasi","Neutral","2025-11-07T13:18:45.217880Z","Darno Lamiran"
16,"1","2025-11-07T13:18:50.770691Z",15,5.241,5,"Jatim park pertama,, wahana main gratis nya paling banyak,, worth it banget,, food courtnya murah2 juga,, mantab puas,, pertahankan,, buat one day activity oke banget","Positive","2025-11-07T13:18:50.770691Z","Yakobus Kristianto"
17,"1","2025-11-07T13:18:57.013342Z",16,5.789,5,"Jtp 1 emang pas bgt buat seru seruan sama temen.. bisa teriak” bebass, dari jaman aku sd sampe kerja nih doyan baget ke jtp gada bosennya, btw banyak fasilitas yg diperbaiki pas kemaren kesana. Jd seneng gitu liatnya,, dulu banyak yg rusak skrng udh bagus” lagii jd pengen lagii","Positive","2025-11-07T13:18:57.013342Z","Mysyaa"
18,"1","2025-11-07T13:19:01.249544Z",17,3.891,5,"Selain sebagai tempat berlibur, cocok juga sebagai sarana pembelajaran berbasis permainan #letsguide #localguide #jatimpark1","Positive","2025-11-07T13:19:01.249544Z","muhammad syukron"
19,"1","2025-11-07T13:19:08.355160Z",18,6.698,4,"safety pada wahana gatotkaca coaster masih kurang, bagian penahan tubuh mudah untuk dilepas pasang. too bad, beberapa wahana yang cukup keras guncangannya malah tidak dilengkapi seatbelt","Negative","2025-11-07T13:19:08.355160Z","xiaolust"
20,"1","2025-11-07T13:19:15.667655Z",19,6.886,5,"Harganya terjangkau, wahananya byk, kids friendly, udaranya suwejuk, masalah safety dlm permainan hrs lbh ditingkatkan","Neutral","2025-11-07T13:19:15.667655Z","Jannice Gamalia"
21,"1","2025-11-07T13:23:44.979865Z",20,268.939,5,"tempat rekreasi yang bertema pengenalan budaya asli Indonesia, sejarah berikut keanekaragaman adat istiadat Indonesia, serta ilmu pengetahuan.
aneka permainan ketangkasan untuk anak dan remaja, kolam renang, food court tersedia lengkap.","Positive","2025-11-07T13:23:44.979865Z","Papi RoMa"
22,"1","2025-11-07T13:23:54.083659Z",21,8.723,5,"Sempurna, karena wahana permainan diuji kelayakan secara berkala. Suasana kota Batu yang sejuk, wahana permainan anak2 dan dewasa sangat banyak pilihan, kolam luas, toilet bersih. Tiket terusan sudah tidak perlu bayar2 lagi, kecuali …","Positive","2025-11-07T13:23:54.083659Z","fanni prasetyo"
23,"1","2025-11-07T13:24:00.065820Z",22,5.53,5,"akhirnya kesini lagi setelah beberapa tahun berlalu. mainannya cukup terawat ya, tapi ada yg ngga beroperasi.
kalau kesini jgn lupa oke sunblock sama sunscreen, karena meskipun malang dingin …","Neutral","2025-11-07T13:24:00.065820Z","Rizky Ayu"
24,"1","2025-11-07T13:24:04.183727Z",23,3.698,5,"Seru banget waktu naik wahana coaster. Bisa teriak sepuasnya wkwkwk
Pas naik wahana yg muter2 itu bener2 bikin pusing 😂 tp seru sih... …","Positive","2025-11-07T13:24:04.183727Z","Lutfiah Khasanah"
25,"1","2025-11-07T13:24:13.768219Z",24,9.232,5,"Tempat liburan yang seru dengan berbagai wahana yang menarik. Tentunya harus ke sana dengan orang-orang yang suka kebersamaan dan sefrekuensi. Long queue as always. But, it’s ok.","Neutral","2025-11-07T13:24:13.768219Z","Gisela Putri"
26,"1","2025-11-07T13:24:23.419106Z",25,9.253,1,"tempat wisatanya bagus, games yang seru, tapi pelayanannya kurang ramah banyak penjaga wahana yang kurang ramah sama pengunjung, kesannya bukan mengingatkan tapi lebih ke memarahi, sumpah ini first time ke situ tapi kek nya aku ga bakal kesitu lagi","Negative","2025-11-07T13:24:23.419106Z","ulfa aina"
27,"1","2025-11-07T13:24:28.446767Z",26,4.643,5,"Banyak wahana yg menantang, permainan anak, ada kolam renang cocok unt orang muda dan anak-anak. Juga ada relief berbagai adat Nusantara cocok unt pembelajaran dan nambah wawasan","Neutral","2025-11-07T13:24:28.446767Z","Natalina Sulis"
28,"1","2025-11-07T13:24:46.654254Z",27,17.776,5,"Wisata keluarga dan juga bisa untuk bersama teman kantor/kolega .
Tiket recomended pas weekend/peak season cuma 100 ribuan","Neutral","2025-11-07T13:24:46.654254Z","Rangga Branco"
29,"1","2025-11-07T13:24:58.795453Z",28,11.694,4,"Tempat yang sangat menyenangkan untuk berlibur sekaligus belajar. Karena selain untuk wahana hiburan, terdapat pula wahana untuk edukasi","Neutral","2025-11-07T13:24:58.803582Z","Rifyan Aditya"
30,"1","2025-11-07T13:25:03.785740Z",29,4.55,1,"Tempatnya kotor dan tidak terawat. Banyak wahana yang rusak sehingga tidak bisa dipakai. Dengan tiket masuk sebesar 120rb yg harus dibeli saat weekend sangat merugikan pembeli. Tiket masuk teraebut digabung dengan museum tubuh bagong di …","Negative","2025-11-07T13:25:03.785740Z","Jusak Kumala"
31,"1","2025-11-07T13:25:09.314380Z",30,5.141,5,"Nemenin keponakan (wkwkwkk keponakan ketemu gede) bermain, tapi saat itu banyak banget wahana yang sedang direnovasi.
Padahal keponakan saya pengen banget bermain wahana yang memacu adrenalin. Huft. …","Neutral","2025-11-07T13:25:09.314380Z","Juang Rahmadillah"
32,"1","2025-11-07T13:25:17.105600Z",31,7.378,5,"tempat wisata edukasi, banyak wahana permainan banyak, toilet banyak, tempat duduk lumayan banyak.","Neutral","2025-11-07T13:25:17.105600Z","Ahmad Anwaruddin"
33,"1","2025-11-07T13:25:21.582868Z",32,4.073,5,"Wow banget deh rugi kalau ga kesini.. Semua menarik cocok untuk santai dan wisata keluarga","Positive","2025-11-07T13:25:21.582868Z","Fakhrul Rozi"
34,"1","2025-11-07T13:25:31.979369Z",33,9.992,5,"bagus sekali, banyak zona permainan yang memacu adrenalin, sangat cocok untuk bersenang senang dengan keluarga maupun teman teman.","Positive","2025-11-07T13:25:31.979369Z","Citra Marmer Tulungagung"
35,"1","2025-11-07T13:25:37.366975Z",34,4.985,4,"Trmpat rekreasi seru untuk keluarga terutama anak-anak dan remaja bahkan dewasa. Banyak wahana yg bisa dinikmatijuga fasilitas yang di sediakan sudah cukup baik.","Positive","2025-11-07T13:25:37.366975Z","Angelica Aan"
36,"1","2025-11-07T13:25:45.485360Z",35,7.752,4,"Kesini weekday htm 115k, JTP 1 ini sangat all in one dan lebih cocok untuk pengujung yang ingin belajar, karena ada science center,pameran budaya, museum tubuh dll. JTP 1 adalah solusi liburan keluarga terutama bagi kalangan anak-anak dan …","Positive","2025-11-07T13:25:45.485360Z","Miftahul Ilmi"
