"title","url","stars","name","reviewUrl","text"
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","alfina noorbafa","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xob1RteHpOQzFxUzJrMVIyeFZhRkpDVW5aQlVGRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOlhoTmxzNC1qS2k1R2xVaFJCUnZBUFE%7C0d55FW6Styl%7C?hl=en",
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","1","Bagus atmojo","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pOVVVFdDZTVzQzZDFkR1dUbFNha3B0VkdoVFNHYxAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOjNUUEt6SW43d1dGWTlSakptVGhTSGc%7C0d4P768UssU%7C?hl=en","Pengamen bisa sembarangan masuk di jalan setelah parkiran!!"
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Vanessa Linares Sanchez","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25aTFowWldNR2M1UWxWUmRGZHRNWFYxWmkwek1VRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOnZLZ0ZWMGc5QlVRdFdtMXV1Zi0zMUE%7C0d3zeFHwVtk%7C?hl=en","Sehr zu empfehlen"
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Jevy Ermado","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pGRGVVdGFia3QyTTNCNlVVaElRMjR3UjA4dGVGRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOjFDeUtabkt2M3B6UUhIQ24wR08teFE%7C0d3v9o7jQRG%7C?hl=en",
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Raditya Pranandha Zld","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xoNE9XNVllSGt6U2xKQk5YWmlkWE5FWm1NMVNYYxAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOlh4OW5YeHkzSlJBNXZidXNEZmM1SXc%7C0d3mi0dv4aG%7C?hl=en",
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Afifa Koesnandar","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tWblZWaHdlVlpFUzB0UUxWVTRZV05zTVdOVlIxRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOkVnVVhweVZES0tQLVU4YWNsMWNVR1E%7C0d3cFrdShgX%7C?hl=en","sebenernya banyak wahana tapi karena kecapekan jalan jadi ga semua bisa dlihat..mungkin karena pas siang jadi panas😁😁"
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Adib Nurfatoni","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2paalMzVXdTVVJvVDA1QlVIVjNSWEJYWWtKUmFXYxAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOjZjS3UwSURoT05BUHV3RXBXYkJRaWc%7C0d3RZyPqtrs%7C?hl=en",
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Huskyy 1914","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tsclRHNURiazVTYkhOTmFEazNTVU5LYkhkMmJVRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOklrTG5Dbk5SbHNNaDk3SUNKbHd2bUE%7C0d3N0h9vFju%7C?hl=en",
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Dita Kurnia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s1SWFITmhOSGRuY1U5WFdEUTJjek5CVUhKUWFYYxAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOk5IaHNhNHdncU9XWDQ2czNBUHJQaXc%7C0d3AmiWYsCT%7C?hl=en","Tempat ini sangat seru cocok untuk bersama teman atau bersama pasangan. Wahana juga bermacam-macam dan tidak membosankan."
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","felia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25rME9VNXlWSEpHYVZkNWNXNTRkemhFUldFMmRIYxAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOnk0OU5yVHJGaVd5cW54dzhERWE2dHc%7C0d2zjCoinS_%7C?hl=en",
